,Cloudy,Humid,ID,Lat,Lon,Max Temp,Name,Temp,Wind
0,78,32,3347353,-14.66,17.68,70.6,Menongue,70.6,6.69
1,40,72,6148373,50.1,-91.92,62.6,Sioux Lookout,61.09,3.36
2,100,73,4035715,-21.21,-159.78,71.6,Avarua,71.6,8.05
3,90,83,5848280,22.08,-159.32,84.2,Kapaa,81.64,13.87
4,0,100,2907911,49.41,8.69,57.99,Heidelberg,53.47,2.24
5,100,86,2121385,50.68,156.12,49.72,Severo-Kurilsk,49.72,19.19
6,0,67,3369157,-33.93,18.42,59.0,Cape Town,58.86,12.75
7,100,93,3423146,69.22,-51.1,35.6,Ilulissat,35.6,2.24
8,0,11,2508813,27.87,-0.29,87.8,Adrar,87.8,6.93
9,100,84,6201424,-46.19,168.86,48.0,Mataura,48.0,11.99
10,100,98,2272491,6.07,-8.13,72.04,Zwedru,72.04,4.61
11,90,88,6324729,44.65,-63.58,71.01,Halifax,66.02,12.75
12,75,73,1106677,-20.34,57.76,70.0,Bambous Virieux,69.91,17.22
13,45,80,5962442,43.74,-81.71,66.99,Goderich,62.22,23.0
14,90,21,2175403,-23.58,149.07,79.06,Bluff,79.06,16.02
15,85,56,7304020,28.08,109.56,65.74,Muli,65.74,1.88
16,30,58,4004898,29.09,-110.96,93.99,Hermosillo,90.0,1.01
17,90,87,2399001,-3.44,10.65,76.54,Mayumba,76.54,10.94
18,75,93,2729907,78.22,15.63,35.6,Longyearbyen,35.6,11.41
19,100,69,2017155,71.97,114.09,34.24,Saskylakh,34.24,18.86
20,51,51,3863379,-46.43,-67.52,58.0,Mar del Plata,58.0,15.1
21,10,58,1629380,-8.61,120.46,82.3,Ruteng,82.3,2.26
22,0,63,157738,-4.88,29.64,80.5,Kigoma,80.5,6.85
23,75,54,2163355,-42.88,147.33,55.4,Hobart,54.27,11.41
24,74,85,3609418,14.68,-86.92,72.22,San Cristobal,72.22,2.19
25,100,83,1024552,-25.04,33.64,66.64,Xai-Xai,66.64,8.72
26,90,89,344979,8.96,38.73,57.28,Lebu,57.28,0.89
27,90,94,4972220,45.66,-68.71,71.01,Millinocket,68.04,1.59
28,0,54,2069194,-33.21,138.6,55.3,Jamestown,55.3,2.33
29,40,66,6144312,50.2,-66.38,55.99,Sept-Iles,54.9,2.24
30,99,93,2015306,71.64,128.87,34.96,Tiksi,34.96,1.23
31,98,78,2122090,69.7,170.27,34.78,Pevek,34.78,12.71
32,0,70,3833859,-38.31,-60.23,57.64,Barrow,57.64,9.33
33,0,42,3860443,-45.87,-67.48,64.4,Comodoro Rivadavia,64.4,24.16
34,99,70,3466980,-17.73,-39.27,72.04,Caravelas,72.04,23.31
35,0,94,3366880,-34.42,19.24,57.0,Hermanus,52.54,1.01
36,11,80,964432,-33.59,26.89,55.99,Port Alfred,55.99,3.0
37,0,76,57000,5.35,48.53,75.1,Hobyo,75.1,18.75
38,100,94,3939168,-10.07,-78.15,61.42,Huarmey,61.42,11.16
39,75,88,3374083,13.22,-59.52,80.6,Bathsheba,80.6,9.17
40,0,36,2126710,63.05,179.32,39.64,Beringovskiy,39.64,9.44
41,82,73,4030556,-23.12,-134.97,69.34,Rikitea,69.34,14.92
42,47,96,3692020,-4.67,-73.52,73.66,Saquena,73.66,2.28
43,20,73,3652764,-0.74,-90.35,71.6,Puerto Ayora,69.8,14.99
44,75,54,2158744,-43.03,147.26,55.4,Margate,54.84,11.41
45,75,46,7647007,-41.13,-71.31,53.6,San Carlos de Bariloche,53.6,16.11
46,1,80,3521972,21.28,-88.27,81.58,Panaba,81.58,9.8
47,40,79,1629974,-2.97,119.9,66.64,Rantepao,66.64,2.59
48,75,63,6322184,-23.68,-45.44,60.8,Porto Novo,60.8,6.93
49,10,95,1061605,-22.14,48.01,64.66,Manakara,64.66,3.18
50,40,27,4011743,23.99,-104.67,77.0,Constitucion,76.01,10.29
51,0,76,4021858,27.97,-114.04,72.22,Guerrero Negro,72.22,12.41
52,0,83,3382160,4.94,-52.33,80.6,Cayenne,80.6,3.36
53,40,78,3985710,22.89,-109.91,87.8,Cabo San Lucas,83.43,18.34
54,17,41,1014034,-30.97,22.13,46.3,Carnarvon,46.3,12.68
55,0,50,2075265,-33.64,115.35,64.0,Busselton,63.5,16.73
56,75,66,5855927,19.71,-155.08,84.2,Hilo,78.6,12.75
57,40,68,2128975,43.32,145.57,66.2,Nemuro,66.2,13.87
58,0,83,986717,-34.0,24.73,49.0,Kruisfontein,49.0,6.87
59,100,72,2022572,71.98,102.47,38.02,Khatanga,38.02,11.18
60,100,94,3418910,72.79,-56.15,36.94,Upernavik,36.94,3.38
61,2,78,4020109,-9.8,-139.03,79.42,Atuona,79.42,18.3
62,75,81,3874787,-53.16,-70.91,48.2,Punta Arenas,48.09,16.11
63,90,100,5850554,21.35,-158.09,84.2,Makakilo City,80.08,3.36
64,4,93,7288345,61.18,7.24,42.01,Kaupanger,42.01,1.66
65,0,87,1015776,-34.53,20.04,46.99,Bredasdorp,46.76,5.82
66,75,66,3833367,-54.81,-68.31,48.2,Ushuaia,48.2,13.87
67,40,52,5847411,20.89,-156.47,89.6,Kahului,83.23,20.8
68,63,79,4034551,-16.48,-151.75,80.14,Faanui,80.14,14.43
69,75,78,2108502,-9.43,159.96,82.4,Honiara,82.4,5.48
70,0,60,2039557,42.43,130.64,63.04,Khasan,63.04,7.09
71,17,58,338345,13.93,41.69,83.74,Edd,83.74,3.89
72,90,69,5219488,41.25,-75.88,75.99,Wilkes-Barre,71.24,10.29
73,0,26,945945,-28.46,21.24,57.2,Upington,57.2,8.05
74,100,81,1337607,2.67,72.89,81.04,Kudahuvadhoo,81.04,17.54
75,1,69,4407665,39.95,-94.76,73.4,Kodiak,71.44,5.82
76,75,47,6050066,55.1,-105.3,59.0,La Ronge,59.0,17.22
77,0,81,1511846,56.73,85.44,46.99,Oktyabrskoye,45.52,15.66
78,75,94,1273574,15.34,74.49,71.6,Vaini,71.6,1.34
79,94,86,1507390,73.51,80.55,38.2,Dikson,38.2,14.52
80,39,95,1283285,29.28,82.18,46.66,Jumla,46.66,2.19
81,75,88,3373652,13.07,-59.53,80.6,Oistins,80.6,9.17
82,90,94,6138908,45.36,-73.48,70.0,Saint-Philippe,68.32,10.29
83,0,54,70979,15.17,44.32,71.5,Sayyan,71.5,0.98
84,90,86,6170031,69.44,-133.03,39.2,Tuktoyaktuk,39.2,6.93
85,100,78,3421765,60.14,-45.24,41.26,Nanortalik,41.26,4.54
86,1,15,5826559,41.53,-109.47,69.8,Green River,67.59,19.46
87,0,11,2449893,20.2,1.01,87.52,Tessalit,87.52,9.55
88,68,44,1515029,49.98,92.07,54.58,Ulaangom,54.58,1.5
89,68,82,3933104,-12.12,-73.0,73.84,Pangoa,73.84,2.64
90,18,63,1509819,55.67,84.39,46.66,Bolotnoye,46.66,14.83
91,100,95,1282898,28.21,83.99,50.8,Pokhara,50.8,1.16
92,0,69,2110227,3.07,172.79,85.18,Butaritari,85.18,11.95
93,1,43,3994469,29.56,-104.41,87.8,Ojinaga,87.8,5.82
94,75,61,5880568,60.79,-161.76,48.2,Bethel,46.98,14.99
95,0,13,2447513,18.74,7.39,90.94,Arlit,90.94,11.27
96,0,28,1528998,40.29,97.04,58.54,Yumen,58.54,7.45
97,95,80,1490085,64.92,77.78,34.0,Tarko-Sale,34.0,23.02
98,100,75,1308937,22.92,96.51,67.0,Mogok,67.0,2.62
99,0,30,3932145,-13.71,-76.2,71.6,Pisco,67.39,12.75
100,89,75,1267390,10.57,72.64,82.3,Kavaratti,82.3,6.53
101,0,80,3451138,-32.03,-52.1,55.99,Rio Grande,55.99,5.48
102,100,94,863061,66.0,57.56,31.54,Usinsk,31.54,15.66
103,75,54,2155415,-42.78,147.06,55.4,New Norfolk,54.86,11.41
104,24,94,2303611,4.87,-2.24,76.0,Axim,76.0,8.55
105,0,15,2456917,16.42,-3.66,96.16,Goundam,96.16,7.2
106,100,78,780687,70.86,29.09,40.72,Berlevag,40.72,19.71
107,100,94,1269602,14.53,76.35,69.52,Jagalur,69.52,3.65
108,75,83,3378644,6.8,-58.16,82.4,Georgetown,78.55,6.93
109,33,67,3466165,-30.17,-50.22,59.08,Cidreira,59.08,14.09
110,0,61,3430443,-38.55,-58.74,57.0,Necochea,52.25,10.0
111,100,69,3421193,61.99,-49.67,41.62,Paamiut,41.62,12.1
112,0,80,608271,49.15,56.49,38.2,Shubarkuduk,38.2,7.34
113,0,28,1280957,39.77,98.29,58.36,Jiayuguan,58.36,3.29
114,75,74,5983720,63.75,-68.52,37.4,Iqaluit,37.18,3.36
115,3,26,3919813,-17.34,-65.87,69.8,Colomi,69.8,5.82
116,90,93,6167817,47.66,-52.73,62.01,Torbay,59.81,21.92
117,90,93,5882953,68.22,-135.01,41.0,Aklavik,41.0,6.93
118,90,66,4004293,20.71,-105.21,89.6,Ixtapa,89.6,4.7
119,1,83,1728539,13.53,121.87,82.99,Balanacan,82.99,3.0
120,75,49,6165406,55.74,-97.86,69.8,Thompson,69.8,11.41
121,0,64,778829,69.58,20.21,32.0,Lyngseidet,29.98,3.36
122,90,100,2986626,48.38,-4.62,63.0,Plouzane,62.73,17.22
123,90,65,4639848,35.76,-83.97,78.8,Maryville,73.33,9.17
124,100,84,1314759,22.93,97.75,64.3,Lashio,64.3,1.1
125,0,71,100926,25.02,37.27,85.36,Umm Lajj,85.36,15.7
126,23,53,884927,-17.4,32.23,62.32,Mutoko,62.32,5.99
127,90,83,5106834,42.65,-73.75,75.99,Albany,68.74,16.11
128,58,59,6150293,54.11,-112.47,54.0,Smoky Lake,54.0,5.99
129,75,66,6137381,48.56,-71.32,57.0,Saint-Ambroise,54.99,8.05
130,55,87,1499158,53.0,91.49,45.76,Mayna,45.76,1.5
131,60,61,3984078,25.95,-105.37,73.84,Santa Maria del Oro,73.84,8.32
132,2,67,358048,31.42,31.81,75.28,Damietta,75.28,6.08
133,40,61,6185377,62.45,-114.38,48.2,Yellowknife,48.09,18.34
134,75,60,546105,59.7,30.79,41.0,Nikolskoye,37.65,6.71
135,44,79,5973108,49.69,-83.67,54.04,Hearst,54.04,2.84
136,6,72,2063036,-34.72,135.86,54.22,Port Lincoln,54.22,5.77
137,20,94,2562501,35.91,14.5,75.2,Sliema,75.06,13.87
138,40,66,2160517,-41.43,147.14,55.0,Launceston,52.48,14.99
139,49,46,3457859,-21.61,-55.17,76.0,Maracaju,76.0,7.54
140,0,16,2381334,20.52,-13.05,96.52,Atar,96.52,11.88
141,75,85,1490256,69.49,88.39,37.4,Talnakh,37.4,22.37
142,41,77,3443061,-33.69,-53.46,53.32,Chuy,53.32,10.83
143,96,79,1337610,0.53,72.93,81.04,Thinadhoo,81.04,16.46
144,45,83,3981460,18.62,-100.35,79.78,Coahuayana,79.78,1.99
145,75,77,2995603,48.95,4.24,60.8,Saint-Pierre,56.55,11.41
146,85,97,3671437,-0.19,-74.78,71.5,Puerto Leguizamo,71.5,3.74
147,75,74,3471451,-22.97,-42.02,66.1,Arraial do Cabo,66.1,12.17
148,20,88,1273294,28.58,77.04,77.0,Dwarka,77.0,5.26
149,75,57,6089245,65.28,-126.83,50.0,Norman Wells,50.0,5.82
150,83,82,3026644,45.6,-0.6,64.0,Souillac,61.99,9.17
151,54,84,1488903,65.8,87.96,35.32,Turukhansk,35.32,20.62
152,99,88,1274304,22.06,78.94,71.68,Chhindwara,71.68,1.32
153,17,48,921028,-14.06,32.43,68.98,Chadiza,68.98,7.72
154,100,14,2065594,-20.73,139.49,80.6,Mount Isa,80.6,13.87
155,0,39,2170577,-36.24,149.13,48.2,Cooma,48.2,5.82
156,63,79,1293960,20.78,97.03,64.84,Taunggyi,64.84,1.01
157,1,72,5267332,42.73,-90.48,69.8,Platteville,64.44,6.17
158,19,74,2012530,66.77,123.37,35.5,Zhigansk,35.5,0.89
159,11,54,1651810,-8.93,125.41,83.74,Airai,83.74,0.58
160,40,74,3581398,16.17,-88.94,86.0,Laguna,86.0,4.7
161,14,86,1504682,56.21,95.71,42.34,Kansk,42.34,5.79
162,75,83,4975802,43.66,-70.25,75.0,Portland,70.29,8.05
163,40,66,4033557,-17.73,-149.15,86.0,Tautira,86.0,19.46
164,75,73,934322,-20.41,57.7,70.0,Mahebourg,69.91,17.22
165,40,78,286621,17.01,54.1,80.6,Salalah,80.6,4.7
166,0,65,425378,-3.48,29.48,54.4,Matara,54.4,0.94
167,100,61,2208248,-46.28,169.85,48.99,Kaitangata,48.99,5.99
168,0,97,1485997,58.45,92.17,39.64,Yeniseysk,39.64,6.69
169,79,86,2396518,-0.72,8.78,77.62,Port-Gentil,77.62,11.95
170,43,48,3397763,-6.22,-57.76,83.74,Jacareacanga,83.74,1.95
171,0,76,1785974,37.68,112.73,57.2,Yuci,57.2,3.11
172,87,67,3372707,38.52,-28.7,70.24,Ribeira Grande,70.24,11.61
173,62,67,525426,54.43,31.9,37.48,Sobolevo,37.48,7.81
174,81,72,3663516,-7.52,-72.89,77.62,Parana,77.62,0.51
175,50,75,1215502,5.56,95.32,82.3,Banda Aceh,82.3,8.14
